Record_ID,Actor_or_Title,Location_or_Type,Atomic_Fact_or_Proposition,Status_or_Weight,Principal_Risk_or_Limitation,Gap_or_Corrective_Action,Verification_Condition
G001,All fraud counts,Critical,Exact transaction chronology is incomplete.,Open,"Payment histories, appointment records, consent dates, and facility records.",Build one row per visit and link every communication or omission to a bounded period.,"Every challenged transaction has who, what, when, where, how, and Evidence_ID."
G002,C01 / C02 / C04,Critical,Exact advertisements and consent language are not in the current record.,Open,"Original screenshots, texts, emails, forms, video scripts, and version metadata.",Preserve originals and quote only exact language.,Rule 9.02 fields are complete for every communication.
G003,C04 / C11,Critical,Duty-to-disclose mapping is incomplete for each omitted predicate.,Open,"Consent relationship, special knowledge, statements rendered misleading, and regulatory duties.",Assign a recognized duty path to each omission.,No omission row lacks a duty and Authority_ID.
G004,C05,Critical,Medical standard and causation evidence are incomplete.,Open,"Expert-review facts, records, literature, and differential causes.",Build § 145.682 compliance calendar and medical-causation record.,Affidavit requirements and causation facts are satisfied.
G005,C06,High,Battery theory lacks facts showing no consent to the essential nature or a substantially different procedure.,Open,Consent scope and exact deviation.,Limit battery to facts that satisfy Kinikin rather than mere nondisclosure.,Each battery theory identifies the unconsented or substantially different contact.
G006,C08 / C11 / P01 / P02,Critical,Medical-practice classification is contested.,Open,"Detailed acts: invasive procedure, screening, anticoagulant or saline administration, laboratory review, physician supervision, and immunization.",Plead conduct rather than labels and separate pre- and post-2026-08-01 periods.,Each statutory clause is mapped to a supported factual act.
G007,Relief quantum,Critical,The $3.7 billion requested floor lacks an auditable Minnesota-specific calculation in the present record.,Open,"Participant counts, transactions, years, restitution measure, program costs, offsets, and sensitivity analysis.",Create an evidentiary quantum model linked to admissible data.,"Every dollar is traceable to source, formula, legal remedy, and nonduplication rule."
G008,Group relief,Critical,Absent-person monetary distribution mechanism is unresolved.,Open,"Rule 23 prerequisites, representative adequacy, class definition, notice, and certification evidence.",Keep individual standing and public injunction distinct from absent-person monetary relief.,No complaint language asserts unauthorized representation.
G009,C09,High,No unauthorized health-record access or disclosure event is identified.,Open,"Access logs, release authorizations, recipients, dates, and damages.",Do not plead C09 unless a covered event is documented.,Every statutory element and compensatory loss is supported.
G010,C07 / C10,High,"Property, transfer, contract, and unjust-gain theories are underdeveloped.",Open,"Consent terms, ownership language, compensation agreement, and downstream accounting.",Plead in the alternative and avoid duplicative recovery.,"Each theory addresses contract, consent, ownership, and recovery measure."
G011,All defendants,High,Correct legal entity and service information requires final verification.,Open,"Secretary of State records, assumed-name filings, registered agents, and FDA identifiers.",Verify immediately before summons and service.,Caption and service package match current official records.
G012,Public benefit,High,Public reach and ongoing conduct need documentary support.,Open,"Campaign reach, standardized forms, participant counts, current offers, and policies.",Link public evidence to requested injunction.,Public-benefit allegations are factual rather than conclusory.
G013,Scientific injury theory,High,Biomarker changes and serious clinical injury must not be conflated.,Open,"Balanced literature, plaintiff records, medical causation, and contrary study.",State measured changes precisely and identify unresolved clinical significance.,No claim exceeds the cited study findings.
G014,Provider-specific incidents,High,"BioLife stops, Octapharma sampling, Grifols deferral, and CSL immunization lack exact records.",Open,"Machine logs, supply records, charts, program files, and witnesses.",Issue focused preservation and record requests.,"Each incident has date, staff, record, SOP, and clinical significance."
G015,All counts,Medium,Statutes and rules may change before filing.,Open,"Current Revisor, eCFR, and controlling opinions.",Run an authority update on the filing date.,"All authority URLs, effective dates, and controlling cases are current."
