Record_ID,Actor_or_Title,Period_or_Citation,Atomic_Fact_or_Proposition,Status_or_Weight,Authority_IDs,Count_IDs,Materiality,Principal_Risk_or_Limitation,Verification_Condition
P01,Corporate practice of medicine prohibition,"Minn. Stat. § 147.081, subd. 1, as amended effective 2026-08-01",Non-natural persons may not practice medicine if the conduct fits subdivision 3.,Contested application,A026; A027,C08; C11; C01; C04,High,Mapped through actionable count,No automatic civil damages count; classification and conduct must fit statutory text.
P02,Practice-of-medicine definition,"Minn. Stat. § 147.081, subd. 3","Theory: invasive extraction, screening, anticoagulant/saline administration, adverse-event response, laboratory review, and immunization evidence medical practice.",Contested application,A026,C08; C11; C01; C04,High,Mapped through actionable count,Defendants will argue federally regulated procurement is not diagnosis or treatment.
P03,Responsible-physician medical supervision,21 C.F.R. § 630.5,Eligibility and collection operate under responsible-physician supervision with permitted delegation.,Regulatory predicate,A029,C11; C01; C04; C08,Medium,Mapped through actionable count,Delegation to trained persons is expressly permitted; credential absence alone is not a per se federal violation.
P04,Health-protective eligibility determination,21 C.F.R. § 630.10,Collection must not proceed when identified factors could adversely affect participant health; risk information and withdrawal opportunity are required.,Regulatory predicate,A030,C11; C01; C04; C05,High,Mapped through actionable count,"Requires participant-specific records showing missed factors, inaccurate assessment, or inadequate risk information."
P05,Plasmapheresis informed consent,21 C.F.R. § 630.15(b),Initial and periodic informed consent must explain procedure risks and hazards.,Regulatory predicate,A031,C11; C01; C04; C05,High,Mapped through actionable count,Requires exact consent versions and dates; federal compliance may rebut state-law allegations.
P06,Periodic protein and immunoglobulin testing,21 C.F.R. § 640.65(b),Periodic testing and review are required; abnormal results can require deferral and physician review.,Regulatory predicate,A033,C11; C01; C04; C05,High,Mapped through actionable count,"Requires actual laboratory results, review dates, notices, and reinstatement records."
P07,Collection-frequency limit,21 C.F.R. § 640.65(b)(8),Automated collections must be at least two days apart and no more than twice in seven days.,Regulatory predicate,A033,C11; C01; C04,Low,Mapped through actionable count,"Alleged schedules may be within the maximum; the theory concerns inducement, individualized safety, and disclosure."
P08,Commercial manufacturing purpose,21 C.F.R. § 640.60,Source Plasma is collected for further manufacturing use.,Regulatory classification fact,A032,C01; C02; C03; C04; C08; C11,High,Mapped through actionable count,Commercial purpose supports materiality but does not itself prove deception if adequately disclosed.
P09,Specific immunization program,"21 C.F.R. §§ 630.5(c), 640.66","Selection, scheduling, administration, and response evaluation are physician-governed functions in approved programs.",Regulatory predicate,A029; A034,C11; C01; C04; C05; C08,High,Mapped through actionable count,"Requires program approval, protocol, antigen records, purpose, and consent."
P10,Paid-source-plasma quarantine and eligibility history,21 C.F.R. § 640.69,Paid Source Plasma for injectable manufacturing is subject to testing history and quarantine.,Regulatory classification fact,A035,C01; C02; C04; C08; C11,Medium,Mapped through actionable count,"Supports commercial-product chain, not participant injury by itself."
P11,Health-record privacy,Minn. Stat. §§ 144.291–144.298,"Unauthorized access, request, or release can create direct liability.",Direct action only on covered facts,A028,C09; C11,Low,Mapped through actionable count,No specific unauthorized access or disclosure is currently identified.
P12,Non-actionable-predicate omission framework,Graphic Communications and Klein,"A regulatory violation may serve as an omitted fact only when disclosure duty, knowledge, materiality, causation, and injury are independently pleaded.",Actionable only through fraud elements,A010; A011,C11; C01; C04,High,Mapped through actionable count,No categorical presumption eliminates controlling duty-to-disclose requirements.
P13,Source Plasma suitability and examination,21 C.F.R. § 640.63,Source Plasma participants are subject to health-history and physical-examination requirements.,Regulatory predicate,A042,C11; C01; C04; C05; C08,Medium,Mapped through actionable count,Requires exact examination records and timing.
