Record_ID,Actor_or_Title,Location_or_Type,Atomic_Fact_or_Proposition,Status_or_Weight,Gap_or_Corrective_Action,Verification_Condition
E001,Plaintiff declaration and testimony,Plaintiff,"Chronology, statements heard, procedures, reliance, and claimed injuries.",Critical,Create a date-specific declaration cross-referenced to Fact_IDs.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E002,Payment histories and promotion ledgers,"Each defendant, payment account, and apps","Session dates, amounts, tiering, bonus completion, and compensation terms.",Critical,Export complete histories and preserve metadata.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E003,"Consent forms, educational materials, scripts, and videos",Each defendant,"Exact disclosures, omissions, signatures, version dates, and speakers.",Critical,Collect every version used during plaintiff's participation.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E004,"Advertisements, texts, emails, app screenshots, websites, and promotion rules",Each defendant,"Exact public statements, audience, dates, and offer conditions.",Critical,Capture originals and archive source and timestamps.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E005,Laboratory results and longitudinal trend data,Each defendant and laboratories,"Total protein, albumin, IgG, electrophoresis, hemoglobin, ferritin, and related results.",Critical,Obtain machine-readable results with reference ranges and dates.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E006,Deferral and reinstatement records,Each provider,"Reason, duration, notice, review, and criteria.",Critical,"Collect notices, internal codes, reviewer, and reinstatement records.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E007,BioLife machine logs and incident records,BioLife,"Device stops, alarm codes, restarts, staff action, and medical review.",Critical,Preserve device logs and incident reports for the exact visit.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E008,"Staffing, training, productivity, and discipline records",Each defendant,"Delegation, competence, throughput pressure, and management knowledge.",High,"Request policies, metrics, and role-specific training records.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E009,Standard operating procedures and corporate safety policies,Each defendant,"Eligibility, adverse events, stopping criteria, consent, and follow-up.",Critical,Identify the version effective for each event.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E010,"FDA inspection, warning, registration, and biologics-license records",FDA and defendants,"Regulatory status, inspection findings, and approved programs.",High,Index center-specific FDA identifiers and inspection history.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E011,"Transit, calendar, and time records",Plaintiff and transit provider,Out-of-pocket travel and duration per visit.,Medium,Reconstruct only challenged visits.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E012,Corporate financial and product-value records,Defendants and public filings,"Downstream revenue, product categories, and value-chain facts.",High,Use an auditable Minnesota-specific methodology and avoid unsupported extrapolation.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E013,CSL tetanus/immunization program file,CSL,"Consent, antigen, physician oversight, purpose, product category, and additional compensation.",Critical,Collect complete participant and program records.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E014,Octapharma sampling and supply records,Octapharma,"Needle gauge, inventory, orders, panels, dates, and deferral.",Critical,"Request visit record, supply protocol, and laboratory orders.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E015,Grifols/Talecris counseling and deferral records,Grifols/Talecris,"Low-protein explanation, diet materials, trends, and deferral.",Critical,"Request chart, handouts, and staff identity.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E016,BioLife compensation and return-offer records,BioLife,Tiered payment and eight-session promotion.,Critical,"Preserve app, messages, offer rules, and ledger.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E017,Corporate entity and facility records,"Secretary of State, FDA, and corporate filings","Correct legal names, ownership, center addresses, and service agents.",Critical,Complete immediately before caption and service.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E018,Federal regulations and center regulatory framework,eCFR and FDA,"Procedure definition, supervision, eligibility, consent, testing, and frequency.",High,Use current and event-date versions.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E019,Product classification and downstream-disposition records,FDA and defendants,"Source Plasma classification, manufacturing purpose, quarantine, and final use.",High,Tie each defendant and product stream to actual records.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E020,Signed acknowledgement and periodic re-consent records,Each defendant,"Consent timing, signer, withdrawal opportunity, and risk acknowledgement.",Critical,Map every record to procedure dates.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E021,Scientific literature set,PubMed and PMC,"Biomarker effects, recovery, and contrary clinical-outcome evidence.",High,Use balanced literature and state limitations.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E022,Cross-provider deferral-system records,Defendants and industry vendors,"What data are shared, blocked, or siloed across providers.",High,"Identify vendor, registry, data fields, and privacy rules.","Evidence obtained, authenticated, and mapped to Fact_IDs."
E023,Participant portal and complete health-record exports,Each defendant,"Laboratory transparency, notices, trends, and access.",High,Export screens and complete records.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E024,Legal authority set,"Minnesota Revisor, courts, eCFR, and FDA","Pleading rules, capacity, counts, predicates, and remedy limits.",Critical,Update immediately before filing for amendments and controlling decisions.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
E025,Relief model and cost methodology,Plaintiff and independent model inputs,"Requested $3.7 billion minimum, category shares, Minnesota population, and program costs.",Critical,Develop auditable inputs and sensitivity analysis.,"Evidence obtained, authenticated, and mapped to Fact_IDs."
