Record_ID,Actor_or_Title,Location_or_Type,Atomic_Fact_or_Proposition,Status_or_Weight,Authority_IDs,Remedy_or_Measure,Principal_Risk_or_Limitation,Verification_Condition
C01,"Minnesota Consumer Fraud Act through Minn. Stat. § 8.31, subd. 3a",Direct actionable count,Violation of § 325F.69; plaintiff injury; causal nexus; Rule 9.02 particularity for fraud-based conduct; public benefit for fee-shifting and public-facing equitable relief.,Partial,A001; A003; A007; A008; A009; A010; A011; A013,,Plaintiff damages; equitable relief; costs and fees where authorized.,"Omission theory requires duty/special circumstances; exact materials, dates, and transactions must be particularized."
C02,False Statement in Advertising under Minn. Stat. § 325F.67 through § 8.31,Direct actionable count,Public advertisement; materially false statement concerning services or merchandise; intent or tendency to induce reliance; injury and causal nexus; particularity.,Partial,A001; A003; A012,,Plaintiff damages and equitable relief under § 8.31.,"Requires exact advertisement, audience, date, medium, and falsity."
C03,Uniform Deceptive Trade Practices Act injunction,Direct prospective count,Deceptive practice listed in § 325D.44; likelihood of future damage; tailored prospective injunction.,Partial,A014; A015,,Prospective injunction and related equitable orders.,Does not itself supply compensatory damages; standing requires likely future damage.
C04,Common-law fraudulent nondisclosure,Direct tort count,Existing fact; knowledge; duty to disclose; intentional concealment or nondisclosure; reasonable reliance; causation; damages; Rule 9.02 particularity.,Partial,A003; A010; A011,,Compensatory damages and appropriate equitable relief.,Materiality alone is insufficient; duty and reliance must be pleaded transaction by transaction.
C05,Negligent nondisclosure / lack of informed consent,Direct medical-negligence count,Duty; departure from disclosure standard; undisclosed material risk or alternative; objective causation; injury; § 145.682 compliance where expert testimony is required.,Gap,A020; A021; A031; A036,,Compensatory damages and medically justified monitoring.,Expert-affidavit procedure and proof of actual injury; consent is not automatically invalidated.
C06,Medical battery,Alternative direct tort count,"No consent to the procedure's essential nature, or performance of a substantially different procedure; intentional contact; resulting damages.",Contested,A022; A041,,Compensatory or nominal damages where supported.,"When a participant agreed to plasmapheresis, inadequate risk disclosure usually sounds in negligence, not battery."
C07,Unjust enrichment and restitution,Alternative equitable count,Defendant knowingly received a benefit from plaintiff; defendant was not entitled to retain it; retention would be unjust.,Contested,A023,,Restitution measured by unjust benefit; accounting.,Consent/payment terms may constitute an applicable contract; restitution cannot duplicate legal damages.
C08,Declaratory judgment,Direct equitable count,"Actual present controversy concerning legal classification, duties, and rights; declaration will resolve uncertainty.",Partial,A016; A026; A029; A031; A032; A033,,"Declaration concerning classification, consent duties, and legal status.",Cannot be advisory; each declaration must tie to concrete ongoing conduct and parties.
C09,Minnesota Health Records Act,Conditional direct statutory count,"Covered health record; unauthorized request, access, or release; causation; compensatory loss.",Gap,A028,,"Compensatory damages, costs, and fees as provided by statute.",No currently identified unauthorized access or disclosure event.
C10,Conversion of extracted plasma or associated value,Alternative novel tort count,Plaintiff property interest; defendant's intentional dominion inconsistent with plaintiff's rights; damages.,Contested,A032,,Value of property or restitutionary relief.,"Consent to extraction/transfer, compensation, regulation, and ownership doctrine create substantial barriers."
C11,Fraud-by-omission series based on non-actionable regulatory predicates,"Theory series through C01 and C04, not standalone predicate counts",For each predicate: unlawful/noncompliant fact; knowledge; disclosure duty; materiality; omission; intent; reliance or causal nexus; injury.,Partial,A010; A011; A026; A029; A030; A031; A033; A034; A035,,Same remedies available under the actionable fraud count; predicate law does not independently create damages unless stated.,Each predicate must be tied to a duty and particular transaction; violation alone is insufficient.
C12,Later motion for punitive damages,"Post-pleading procedure, not initial count",After commencement: motion to amend; affidavits; prima facie evidence; deliberate-disregard standard.,Procedurally deferred,A024; A025,,Punitive damages only after judicial permission.,Must not appear as a punitive-damages demand in the initial complaint.
