Record_ID,Actor_or_Title,Atomic_Fact_or_Proposition,Status_or_Weight,Evidence_IDs,Authority_IDs,Count_IDs,Predicate_IDs,Liability_IDs,Relief_IDs,Gap_or_Corrective_Action
F037,"BioLife Plasma Services, L.P.",BioLife staff allegedly continued the procedure after the three device stops.,Gap,E007,A003; A024; A025; A029; A030,C01; C04; C05; C06; C11; C12,P03; P04; P05; P12,L01; L03; L05; L09,R01; R03; R08,"Establish whether continuation violated SOP, required medical review, or materially differed from consent."
F038,"BioLife Plasma Services, L.P.",BioLife staff allegedly used a standardized 'larger bottle' explanation concerning collection volume.,Gap,E003; E016,A003; A010; A011; A013,C01; C02; C04,P05; P12,L01; L02,R01; R03,"Identify speaker, exact statement, actual collection volume, and script or training materials."
F039,"Talecris Plasma Resources, Inc. d/b/a Grifols Plasma",Grifols/Talecris allegedly deferred plaintiff for low protein for more than one year.,Partial,E005; E006; E015,A030; A031; A033; A037; A038,C01; C04; C05; C08; C11,P04; P05; P06; P12,L01; L03,R01; R04; R08,"Obtain all protein, IgG, electrophoresis, deferral, counseling, and reinstatement records."
F040,"Talecris Plasma Resources, Inc. d/b/a Grifols Plasma",Staff allegedly framed the low-protein result primarily as a dietary issue without explaining extraction frequency or cumulative depletion.,Gap,E003; E006; E015,A003; A010; A011; A013; A037,C01; C02; C04; C05; C11,P04; P05; P06; P12,L01; L02; L03,R01; R03; R04,"Obtain the counseling note, diet material, staff identity, collection history, and trend data."
F041,"Octapharma Plasma, Inc.",Octapharma staff allegedly identified a 17-gauge needle as the needle used for a two-vial venous sample.,Gap,E014,A003; A029; A031,C01; C04; C05; C06; C11,P03; P04; P05,L01; L03; L05,R01; R03,"Obtain the supply record, protocol, staff identity, sample order, and venipuncture record."
F042,"Octapharma Plasma, Inc.",Octapharma staff allegedly stated or demonstrated that no alternative needle size was stocked for the sample.,Gap,E014,A003; A011; A029; A031,C01; C04; C05; C06; C11,P03; P05; P12,L01; L03; L05,R01; R03,"Obtain inventory, purchasing records, protocol, and statement details."
F043,"Octapharma Plasma, Inc.",Octapharma allegedly obtained blood samples or panels more frequently than the federal minimum interval.,Gap,E014; E023,A003; A031; A033,C01; C04; C05; C06; C11,P05; P06; P12,L01; L03; L05,R01; R03; R04,"Obtain every laboratory order, sample date, panel, result, and stated purpose."
F044,"Octapharma Plasma, Inc.",Octapharma allegedly later deferred plaintiff after repeated participation and testing.,Gap,E006; E014,A030; A031; A033,C01; C04; C05; C08; C11,P04; P05; P06; P12,L01; L03,R01; R04; R08,"Obtain the deferral notice, reason, result, duration, reviewer, and reinstatement criteria."
F045,CSL Plasma Inc.,CSL allegedly enrolled plaintiff in a two-session tetanus immunization-related program.,Gap,E013,A003; A029; A031; A034,C01; C02; C04; C05; C06; C08; C11,P09; P12,L01; L02; L03; L05,R01; R03; R06,"Obtain immunization consent, antigen lot, physician approval, program protocol, and collection records."
F046,CSL Plasma Inc.,CSL allegedly paid approximately five dollars in additional compensation associated with the tetanus program.,Gap,E002; E013,A003; A012; A013,C01; C02; C04; C07,P08; P09; P12,L01; L02; L07,R01; R02; R03,Obtain the payment ledger and written program terms.
F047,CSL Plasma Inc.,CSL allegedly did not disclose that the immunization was intended to create high-titer or hyperimmune plasma for a specialized commercial product.,Gap,E003; E013; E019,A010; A011; A029; A034,C01; C04; C05; C08; C11,P08; P09; P12,L01; L03; L04,R01; R03; R06,"Obtain the program purpose, product destination, consent text, and participant education."
F048,CSL Plasma Inc.,"CSL allegedly did not disclose the specialized product category, downstream value, or program-specific risks before obtaining consent.",Gap,E003; E012; E013,A010; A011; A023; A029; A034,C01; C04; C05; C07; C08; C11,P08; P09; P12,L01; L03; L04; L07,R01; R02; R03; R06,Obtain product valuation evidence and exact program disclosures; do not use speculative value.
F049,Plaintiff,Plaintiff underwent repeated compensated plasma-extraction procedures at multiple defendants' centers.,Partial,E001; E002,A001; A003; A009,C01; C02; C04; C05; C06; C07; C08; C10; C11,P04; P05; P06; P08; P09; P12,L01; L02; L03; L04; L05; L07,R01; R03; R04; R06,"Build a complete chronology from payment histories, appointment records, consents, and laboratory files."
F050,Plaintiff,"Plaintiff alleges that complete disclosure of medical classification, commercial product purpose, regulatory character, and cumulative-risk information would have changed participation or frequency.",Partial,E001,A003; A009; A010; A011; A021,C01; C04; C05; C11,P05; P08; P09; P12,L01; L03,R01; R03; R06,"Repeat the allegation with provider, date, omitted fact, and resulting decision for each transaction cluster."
F051,Plaintiff,"A complete participation episode allegedly consumed approximately four to six hours including travel, waiting, screening, extraction, and return travel.",Partial,E011,A001; A009; A023,C01; C02; C04; C07,P12,L01; L07,R01; R02,"Use calendar, payment timestamps, transit history, and center records; do not monetize without a supported method."
F052,Plaintiff,Plaintiff alleges approximately eight dollars in transit expense for a participation episode.,Partial,E011,A001; A009,C01; C02; C04,P12,L01,R01,Collect fare records and map only costs caused by challenged transactions.
F053,Plaintiff,Plaintiff experienced one or more low-protein deferrals after repeated participation.,Partial,E005; E006,A021; A030; A033; A037; A038; A040,C01; C04; C05; C08; C11,P04; P05; P06; P12,L01; L03,R01; R04; R08,"Obtain all records and distinguish diet, illness, baseline, and other causal explanations."
F054,All defendants,"The challenged recruitment, compensation, consent, and collection practices allegedly are standardized and directed to a broad Minnesota participant population.",Partial,E004; E009,A007; A008; A009,C01; C02; C03; C04; C08; C11,P12,L01; L02,R01; R02; R03; R06; R08,"Obtain centralized policies, marketing campaigns, participant reach, and current Minnesota offers."
