Record_ID,Actor_or_Title,Location_or_Type,Period_or_Citation,Atomic_Fact_or_Proposition,Status_or_Weight,Principal_Risk_or_Limitation,Source_URL
A001,"Minn. Stat. § 8.31, subd. 3a",Statute,Minnesota,A person injured by specified consumer-protection violations may bring a civil action for damages and equitable relief; attorney fees may be awarded.,Binding,,Supports the injured person's statutory action; the text does not create qui tam standing or use the term relator.
A002,Minn. R. Civ. P. 8.01,Rule,Minnesota,"Requires a short and plain statement showing entitlement to relief and a demand; unliquidated damages above $50,000 are pleaded as reasonably exceeding $50,000.",Binding,,Controls complaint structure and the treatment of unliquidated damages.
A003,Minn. R. Civ. P. 9.02,Rule,Minnesota,Fraud circumstances must be pleaded with particularity; intent and knowledge may be pleaded generally.,Binding,,"Requires who, what, when, where, and how for each deceptive act or omission."
A004,Minn. R. Civ. P. 10.01,Rule,Minnesota,"Caption must identify the court, county, parties, title, file number when assigned, and case type.",Binding,,Controls caption and party identification.
A005,Minn. R. Civ. P. 23,Rule,Minnesota,"Representative monetary relief for absent persons requires class prerequisites, certification, adequate representation, and appointed class counsel.",Binding,,Limits absent-person damages representation and distribution without certification.
A006,Minn. Stat. § 481.02,Statute,Minnesota,A nonlawyer may appear personally only in a nonrepresentative capacity; unauthorized-practice restrictions remain applicable.,Binding,,Creates a representation barrier for absent-person claims by a nonlawyer.
A007,"Ly v. Nystrom, 615 N.W.2d 302",Case,Minnesota Supreme Court,A consumer-fraud action can arise from a single transaction; fee-shifting under the private-attorney-general provision requires a public benefit.,Binding,,Public-benefit allegations must connect the challenged practice to the public rather than only a private dispute.
A008,"Collins v. Minnesota School of Business, 655 N.W.2d 320",Case,Minnesota Supreme Court,Public benefit was supported where standardized misrepresentations were broadly made to prospective consumers.,Binding,,Supports public-benefit allegations based on standardized recruitment and advertising.
A009,"Group Health Plan v. Philip Morris, 621 N.W.2d 2",Case,Minnesota Supreme Court,"The consumer-fraud statutes do not require purchaser status or individualized reliance at pleading, but a causal nexus remains required and may be shown circumstantially.",Binding,,Supports aggregate causal-nexus theory while preserving causation.
A010,"Graphic Communications Local 1B v. CVS Caremark, 850 N.W.2d 682",Case,Minnesota Supreme Court,Material omission alone is insufficient; omission liability requires a legal or equitable duty to disclose arising from special circumstances.,Binding,,Central limitation on omission theories and non-actionable regulatory predicates.
A011,"Klein v. First Edina National Bank, 196 N.W.2d 619",Case,Minnesota Supreme Court,"A disclosure duty may arise from a fiduciary relationship, inaccessible special knowledge, or statements that would mislead without further disclosure.",Binding,,Supplies the duty-to-disclose pathways used in the matrix.
A012,Minn. Stat. § 325F.67,Statute,Minnesota,Prohibits materially false statements in public advertising concerning merchandise or services.,Binding,,Supports an advertising count where exact public statements are identified.
A013,Minn. Stat. § 325F.69,Statute,Minnesota,"Prohibits fraud, false pretenses, false promises, misrepresentation, misleading statements, deceptive practices, and unfair or unconscionable practices in connection with merchandise.",Binding,,Primary consumer-fraud predicate.
A014,Minn. Stat. § 325D.44,Statute,Minnesota,"Defines deceptive trade practices, including confusion about approval, characteristics, benefits, quality, and price reductions.",Binding,,Supports prospective injunctive theories.
A015,Minn. Stat. § 325D.45,Statute,Minnesota,Authorizes injunctive relief for a person likely to be damaged by a deceptive trade practice; monetary damage or intent is not required for the injunction.,Binding,,"Supports prospective injunction, not an independent compensatory-damages award."
A016,Minn. Stat. § 555.01,Statute,Minnesota,"Authorizes declaratory judgments concerning rights, status, and legal relations.",Binding,,Supports classification and legal-status declarations where an actual controversy exists.
A017,Minn. Stat. § 542.09,Statute,Minnesota,"Venue generally lies where a defendant resides or has a place of business, or where the cause arose.",Binding,,Current identified events primarily support Ramsey County venue.
A018,Minn. R. Civ. P. 3,Rule,Minnesota,A civil action is commenced by service of the summons or specified delivery to the sheriff.,Binding,,Filing alone does not commence the action under Minnesota procedure.
A019,Minn. R. Civ. P. 4,Rule,Minnesota,Controls summons content and service on individuals and corporations.,Binding,,Requires entity-specific service mechanics.
A020,Minn. Stat. § 145.682,Statute,Minnesota,Medical-malpractice claims requiring expert testimony trigger expert-review and expert-identification affidavits; noncompliance can cause dismissal.,Binding,,Applies to negligent informed-consent theories dependent on professional standards.
A021,"Cornfeldt v. Tongen, 262 N.W.2d 684 and 295 N.W.2d 638",Case,Minnesota Supreme Court,Minnesota recognizes negligent nondisclosure where a physician fails to disclose material treatment risks and objective causation is shown.,Binding,,Supports informed-consent negligence; requires medical-standard and causation proof.
A022,"Kinikin v. Heupel, 305 N.W.2d 589",Case,Minnesota Supreme Court,Distinguishes battery based on no consent or a substantially different procedure from negligence based on inadequate risk disclosure.,Binding,,Limits medical-battery theory where the participant agreed to the procedure's essential nature.
A023,"Caldas v. Affordable Granite & Stone, 820 N.W.2d 826",Case,Minnesota Supreme Court,Unjust enrichment requires knowing receipt of value that equity and good conscience do not permit the defendant to retain; an applicable enforceable contract can bar the claim.,Binding,,Supports alternative restitution theory and identifies the contract defense.
A024,Minn. Stat. § 549.191,Statute,Minnesota,"Punitive damages must not be sought in the initial complaint; a later motion, affidavits, and prima facie judicial finding are required.",Binding,,Punitive damages are excluded from the initial prayer and tracked only as a later-stage procedure.
A025,Minn. Stat. § 549.20,Statute,Minnesota,Punitive damages require clear and convincing evidence of deliberate disregard for rights or safety.,Binding,,Provides the later-stage substantive standard.
A026,"Minn. Stat. § 147.081 as amended by 2026 Minn. Laws ch. 115, art. 12, § 1",Statute,Minnesota,"Effective August 1, 2026, a non-natural person may not practice medicine as defined in subdivision 3; natural persons require specified licensure or registration.",Binding,,Potentially central predicate; whether compensated plasma extraction constitutes the statutory practice of medicine remains contested.
A027,Minn. Stat. § 645.02,Statute,Minnesota,Acts without a specified effective date generally take effect August 1 following final enactment.,Binding,,Supplies the effective date for the 2026 § 147.081 amendment.
A028,Minn. Stat. §§ 144.291–144.298,Statute,Minnesota,"Defines health records and provides a private remedy for specified unauthorized access, request, or release violations.",Binding,,"A direct count requires evidence of unauthorized access or disclosure, not merely incomplete participant access to records."
A029,21 C.F.R. § 630.5,Regulation,Federal,Requires responsible-physician supervision; permits specified delegation to trained persons and requires rapid emergency-service procedures.,Binding regulatory predicate,,Undercuts any claim that every collection act must be personally performed by a physician; supports supervision and emergency-readiness allegations.
A030,21 C.F.R. § 630.10,Regulation,Federal,"Requires precollection eligibility determination, assessment of conditions that could adversely affect participant health, procedure-risk information, acknowledgement, questions, and withdrawal opportunity.",Binding regulatory predicate,,"Supports health-protection, risk-information, acknowledgement, and deferral allegations."
A031,21 C.F.R. § 630.15,Regulation,Federal,"For Source Plasma or plasma by plasmapheresis, requires periodic medical history and physical examination and informed consent explaining procedure risks and hazards.",Binding regulatory predicate,,Supports informed-consent and medical-character allegations.
