Record_ID,Actor_or_Title,Atomic_Fact_or_Proposition,Status_or_Weight,Authority_IDs,Principal_Risk_or_Limitation,Gap_or_Corrective_Action,Verification_Condition
S01,Plaintiff status,"Plead plaintiff as a person injured invoking Minn. Stat. § 8.31, subd. 3a. The asserted designation 'statutory enforcement relator' may be identified as plaintiff's characterization, while quotations and element statements must use the statute's actual language.",Ready with qualification,A001,Do not describe the action as qui tam.,Do not describe the action as qui tam.,Requirement completed and verified before commencement or deadline.
S02,Personal injury,"Identify each defendant transaction, deceptive act or omitted fact, causal nexus, and plaintiff injury.",Partial,A001; A003; A009,Requires complete date-level chronology and records.,Requires complete date-level chronology and records.,Requirement completed and verified before commencement or deadline.
S03,Public benefit,"Plead standardized public recruitment, consent, compensation, and ongoing practices; specify how relief protects the public.",Partial,A007; A008,"Requires advertisements, participant reach, centralized policies, and ongoing-conduct proof.","Requires advertisements, participant reach, centralized policies, and ongoing-conduct proof.",Requirement completed and verified before commencement or deadline.
S04,Absent-person representation,Do not plead that a nonlawyer personally represents absent people. Group monetary relief requires Rule 23 certification and appointed class counsel; public-facing injunction can benefit others without asserting their individual claims.,Legal barrier,A005; A006,A declaration rejecting leniency does not alter representation rules.,A declaration rejecting leniency does not alter representation rules.,Requirement completed and verified before commencement or deadline.
S05,Fraud particularity,"For each fraud theory state provider, speaker or document, exact content or omitted fact, date or bounded period, place or medium, duty, knowledge, intent, reliance or causal nexus, and injury.",Partial,A003; A010; A011,The Atomic_Facts Gap / Corrective Action column identifies missing particulars.,The Atomic_Facts Gap / Corrective Action column identifies missing particulars.,Requirement completed and verified before commencement or deadline.
S06,Rule 8 pleading,"Use a short and plain complaint organized by common facts, defendant-specific facts, counts, and prayer. For plaintiff's unliquidated damages, state that damages reasonably exceed $50,000 rather than pleading a precise personal amount.",Ready,A002,"The $3.7 billion structural request is separately characterized as an equitable minimum, not plaintiff's liquidated damages.","The $3.7 billion structural request is separately characterized as an equitable minimum, not plaintiff's liquidated damages.",Requirement completed and verified before commencement or deadline.
S07,Venue,Current identified events and centers support Ramsey County venue; a different county requires an independent statutory basis.,Ready on current facts,A017,Confirm each defendant's business location and cause-of-action situs.,Confirm each defendant's business location and cause-of-action situs.,Requirement completed and verified before commencement or deadline.
S08,Commencement and service,"Prepare summons and complaint, serve each defendant through a legally valid corporate recipient, and follow Minnesota commencement and filing rules.",Gap,A018; A019,Registered agents and service addresses must be verified immediately before service.,Registered agents and service addresses must be verified immediately before service.,Requirement completed and verified before commencement or deadline.
S09,Medical-negligence affidavit,Any count requiring expert testimony on professional standard or causation must follow § 145.682's affidavit sequence.,Gap,A020,Track service date and every statutory deadline.,Track service date and every statutory deadline.,Requirement completed and verified before commencement or deadline.
S10,Punitive damages,Exclude a punitive-damages demand from the initial complaint; preserve facts for a later motion under §§ 549.191 and 549.20.,Ready,A024; A025,No punitive quantum belongs in the initial prayer.,No punitive quantum belongs in the initial prayer.,Requirement completed and verified before commencement or deadline.
S11,Non-actionable predicates,List regulatory and licensing predicates in the statement of facts and map each to an actionable fraud count; do not label a predicate as a direct damages count unless the law creates one.,Ready as architecture,A010; A011,"Each predicate still requires duty, knowledge, materiality, causation, and injury.","Each predicate still requires duty, knowledge, materiality, causation, and injury.",Requirement completed and verified before commencement or deadline.
S12,Relief quantum,State the $3.7 billion structural pool as a conservative requested equitable minimum and support it with a defensible methodology before treating the amount as demonstrated.,Gap,A001; A005; A015; A016,The workbook contains allocation formulas but not a verified Minnesota quantum model.,The workbook contains allocation formulas but not a verified Minnesota quantum model.,Requirement completed and verified before commencement or deadline.
